ticercosis "es una enfermedad del sistema nervioso central de origen parasitario que genera una alta morbilidad"
prevenir "Tomar precauciones o medidas por adelantado para evitar un daño o un peligro"
resumen "Exposición breve, oral o escrita, de las ideas principales"
paciente "Que tiene paciencia"
edad "Tiempo que ha vivido una persona u otro ser vivo contando desde su nacimiento"
raza "Cada uno de los cuatro grandes grupos étnicos en que se suele dividir la especie"
evento "Suceso imprevisto"
transplante "Es una técnica agronómica muy antigua que, junto con el semillero"
pasado "Que es anterior al presente"
cefalea "Dolor de cabeza intenso y persistente que va acompañado de sensación de pesadez"
xantocromía "coloración amarilla de una parte del cuerpo"
miastenia "enfermedad que causa debilitamiento en los músculos voluntarios"
craneotomía "operación quirúrgica en que parte del cráneo, llamado colgajo óseo, se elimina con el fin de acceder al cerebro"
hematocrito "Volumen de glóbulos con relación al total de la sangre"
vasoespasmo "Estrechamiento segmentario o difuso del calibre arterial como consecuencia del efecto que tienen sobre la pared del vaso"
arteriovenosas "defectos en las arterias, venas y capilares"
tabaquismo "intoxicación aguda o crónica producida por el consumo abusivo de tabaco"
neoplasias "masa anormal de tejido"
Bocio "Tumefacción de la glándula tiroides que origina una prominencia o un aumento de tamaño de la parte anterior e inferior del cuello"
Candidiasis "infección vaginal común por hongos, es decir, una inflamación de tu vagina"
sepsis "Ocurre cuando el cuerpo tiene una fuerte respuesta inmunitaria a una infección bacteriana"
micosis "Enfermedad infecciosa producida por hongos microscópicos que puede afectar a cualquier parte del organismo."
endocarditis "infección del endocardio"
endoftalmitis "infección que afecta todo el globo ocular"
neumonitis "inflamación de los pulmones debida a quimioterapia o terapia con radiación"
hongo "organismo eucariota que pertenece al reino Fungi"
mucormicosis " Infección oportunista poco frecuente y potenclalmente letal, causada por hongos"
deferoxamina "agente quelante utilizado para promover la remoción del exceso de hierro en el organismo"
inmunodeﬁciencia "Estado del organismo consecuente a una deficiencia funcional del sistema inmunitario de defensa"
SIDA "El virus de inmunodeficiencia humana (VIH) es el virus que causa el SIDA. Cuando una persona se infecta con VIH, el virus ataca y debilita al sistema inmunitario"
gonococos "enfermedad de transmisión sexual que se presenta en los humanos"
syphlos "Infección bacteriana, generalmente de transmisión sexual, que comienza con una llaga indolora."
proteinorraquia "Aumento de la tasa de proteínas en el líquido cefalorraquídeo"
ceftriaxona "antibiótico de la clase cefalosporinas de tercera generación, por lo que tiene acciones de amplio espectro en contra de bacterias"
imidazoles "intermediario de la biosíntesis de la histidina que se forma desde el imidazol glicerol fosfato con la pérdida de agua"
Otomicosis "término médico que se emplea para nombrar las infecciones de la piel del conducto auditivo externo"
linfangítica "vasos linfáticos"
esporotricosis "infección cutánea causada por el moho saprófito Sporothrix schenckii."
osteoarticular "síntoma que puede ser causado por una gran variedad de enfermedades, principalmente las enfermedades reumáticas"
﻿bocio "Tumefacción de la glándula tiroides que origina una prominencia o un aumento de tamaño de la parte anterior e inferior del cuello"
tórax "Parte superior del tronco del ser humano y de los animales vertebrados, situada entre el cuello y el abdomen"
agonista "Sustancia que es capaz de unirse a un receptor celular y provocar una acción determinada en la célula generalmente"
tromboendarterectomía "Tratamiento de elección en la hipertensión pulmonar tromboembólica crónica"
ventrículo "Cavidad presente en algunos órganos del cuerpo"
fosfatasa "Enzima hidrolasa responsable de eliminar grupos de fosfatos de varios tipos de moléculas como nucleótidos, proteínas y alcaloides"
prurito "Picor que se siente en una parte del cuerpo o en todo él y que provoca la necesidad o el deseo de rascarse"
difenhidramina "El hidrocloruro de difenhidramina o Dimedrol es un antihistamínico, sedante e hipnótico"
feto "Embrión de los vivíparos a partir del momento en que ha adquirido la conformación característica de la especie a que pertenece"
colestiramina "La colestiramina es una resina de intercambio aniónico, utilizada para tratar la hipercolesterolemia"
Clorpromazina "Medicamento neuroléptico, categorizado dentro de los antipsicóticos clásicos o típicos"
Leptospirosis "Enfermedad bacteriana que se transmite por la orina de animales infectados"
creatinina "Compuesto orgánico generado a partir de la degradación de la creatina"
rabdomiólisis "Ruptura de los tejidos musculares que libera una proteína dañina en la sangre"
Pelagra "Enfermedad causada por la falta de ciertas vitaminas y que se caracteriza por la aparición de manchas en la piel"
escotoma "Es una zona de ceguera parcial, temporal o permanente"
mioglobinuria "Es la expulsión de mioglobina a través de la orina"
cerebrovasculares "Lesión en el cerebro ocasionada por la interrupción de la irrigación sanguínea"
polineuropatía "Significa que muchos nervios en diferentes partes del cuerpo están comprometidos"
citoquímico "Rama de la biología celular enfocada en el estudio de la composición química de las células y sus procesos biológicos"
trombosis "Coágulo de sangre en una vena profunda, generalmente en las piernas"
Antraquinona "Compuesto orgánico aromático, derivado del antraceno"
Hipotermia "Disminución de la temperatura del cuerpo por debajo de lo normal"
osteotendinosos "Se presenta cuando el organismo responde ante un estímulo mecánico"
arteritis "Inflamación de los vasos sanguíneos, llamados arterias, que están dentro y alrededor del cuero cabelludo"
normocrómica "Anormalidad en la producción de eritrocitos o por aumento en su destrucción"
patognomónica "Sirve para calificar un síntoma que aparece únicamente en el marco de una enfermedad específica"
eritropoyetina "Proteína, segregada principalmente por el riñón en el adulto y por el hígado en el feto"
hematopoyéticos "Tejido responsable de la producción de células sanguíneas"
antitrombina "Glucoproteína formada por una cadena de 432 aminoácidos con un peso molecular de 58 kDa"
Abetalipoproteinemia "Enfermedad hereditaria autosómica recesiva que provoca una mala absorción intestinal, ataxia"
Dacrioadenitis "Inflamación de la glándula lagrimal causada por una infección vírica o de tipo tuberculoso"
Fabulacion "Invención de relatos imaginarios más o menos coherentes que son expresados como si fuesen reales"
Concomitante "síntoma o de la enfermedad que ocurre durante el mismo tiempo que otra"
Crisis "Cambio rápido que se produce en el curso de una enfermedad cíclica y que suele anunciar la curación"
Contagio "Transmisión de una enfermedad de un individuo enfermo a otro sano"
Dactilofasia "Método de comunicación empleado entre los sordomudos mediante el movimiento de los dedos"
Dosis "cantidad de sustancia o medicamento que se administra en una sola vez"
Eficacia "Capacidad de un medicamento o de un tratamiento de producir el efecto beneficioso deseado"
Emplasto "medicina sólida y sensible al calor que se aplica a las partes que se desea que permanezcan unidas"
Epicrisis "Valoración científica de una enfermedad, desde el inicio hasta su finalización"
Epidemia "Enfermedad accidental y transitoria"
Eutanasia "Muerte provocada con la intención de evitar prolongar inútilmente sufrimientos extremos al enfermo"
Eutocia "Parto normal"
Facies "Aspecto o expresión de la cara provocada por una enfermedad concreta"
Fomento "compresa empapado de líquido o medicamento caliente que se aplica sobre una parte del cuerpo"
Garrote "torniquete compuesto por un pequeño cilindro de madera que se introduce bajo una venda circular"
Gnosia "Facultad de percibir y reconocer"
Granuloma "Tumor inflamatorio compuesto por tejidos de granulación"
Hemina "se utiliza en medicina legal para el reconocimiento de manchas de sangre"
Higiene "técnicas para conservar y mejorar la salud"
Inapetencia "Falta de apetito"
Incapacidad "Falta de capacidad para llevar a cabo una vida normal"
Latente "proceso que no presenta manifestación externa"
Mesoterapia "Medicina tradicional que se caracteriza por el método de administración de los medicamentos"
Mielograma "Fórmula citológica de la médula ósea"
Ortodoncia "estudio de las anomalías, deformaciones y alteraciones en la posición de los dientes"
Parche "Estructura de pequeño tamaño que se adhiere a la piel"
Radiotoxicidad "Toxicidad provocada por las radiaciones ionizantes sobre células y tejidos vivos"
Sedentarismo "En una persona, carencia de actividad física regular"
cigomicosis "es una infección causada por hongos del orden de los mucorales"
dengue "es una enfermedad infecciosa aguda"
ascaridiasis "habita en el intestino delgado"
osteoporosis "resistencia ósea disminuida que aumenta el riesgo de fracturas"
neoplasias "se presenta en algún momento de su evolución"
vasculitis "se caracteriza por fiebre"
leptospirosis "enfermedad bacteriana que se transmite por la orina de animales infectados"
tuberculosis "enfermedad bacteriana infecciosa"
quimioprolaxis "conjunto de medidas que se toman para proteger de las enfermedades"
lepra "enfermedad infecciosa crónica curable"
mitsuda "reacción que produce el antígeno en la piel con una infección intracutánea"
dapsona "inhibe la síntesis bacteriana del dihidrofolato o dhf"
gonorrea "infección bacteriana de transmisión sexual"
prostatitis "inflamación de la glándula del tamaño de una nuez que produce líquido seminal"
chancroide "causada por una bacteria gram negativa llamada haemophilus ducreyi"
donovanosis "es una enfermedad crónica producida por una bacteria gramnegativa encapsulada"
fibromialgia "dolor y sensibilidad muscular generalizados"
reumatología "dedicada a los trastornos médicos del aparato locomotor y del tejido conectivo"
antitrombina "es un inhibidor de la coagulación a través de la neutralización de la trombina"
homocisteinemia "aminoácido que contiene azufre y participa en el metabolismo"
neoplasias "enfermedad en la que células anómalas"
teofilina "se usa para prevenir y tratar el resoplo"
broncodilatadores "una sustancia que dilata los bronquios"
biopsia "examen microscópico de un trozo de tejido o una parte de líquido orgánico"
radioterapia "forma de tratamiento basada en el empleo de radiaciones ionizantes"
toracocentesis "punción quirúrgica de la pared torácica para evacuar por aspiración"
bronectina "está presente en la matriz extracelular de la mayoría de los tejidos animales"
pleurodesis "procedimiento médico"
vasculares "vasos o los conductos por los que circula la sangre"
paciente "al que le pasa todo"
medicamentos "es uno o más fármacos integrados en una forma farmacéutica"
aminosalicilatos "es una enfermedad inflamatoria crónica del intestino"
sulfasalazina "se usa para tratar la inflamación intestinal, diarrea"
corticoesteroides "se usan para tratar artritis reumatoide, lupus, asma y otras"
calcineurina "es una enzima dependiente del calcio"
tacrolimús "es un fármaco inmunosupresor"
migraña "dolor fuerte de cabeza"
metoprolol "es un bloqueador del receptor b1 selectivo"
propranolol "farmaco para la hipertension"
flunarizina "es un medicamento bloqueador de canales del calcio"
amitriptilina "es un medicamento antidepresivo"
nortriptilina "es un fármaco antidepresivo tricíclico de segunda generación"
psiquiatría "parte de la medicina que se ocupa del estudio de enfermedades mentales"
hiperalgesia "consiste en la aparición de sensaciones de dolor en respuesta a estímulos"
arteria "vaso sanguíneo que conduce la sangre desde el corazón"
vértigo "es una sensación subjetiva de movimiento de los objetos que nos rodean"
diplopía "trastorno de la visión que consiste en ver doble"
oscilopsia "sensación de oscilación de pequeña amplitud del entorno o del propio cuerpo"
ataxia "provoca la descoordinación en el movimiento de las partes del cuerpo"
hemianopsia "la falta de visión o ceguera que afecta únicamente a la mitad del campo visual" 
hipoestesia "disminución patológica de la sensibilidad"
acv "lesión en el cerebro ocasionada por la interrupción de la irrigación sanguínea"
angiorresonancia "es un examen en el que se utiliza la resonancia magnética"
esquizofrénicos "trastorno que afecta la capacidad de una persona para pensar"
psicosis "trastorno mental caracterizado por una desconexión de la realidad"
depresión "trastorno de salud mental que se caracteriza por depresión persistente"
excéntrico "es un comportamiento inusual o extraño por parte de un individuo"
brucelosis "infección que se trasmite de los animales a las personas"
infección "invasión y multiplicación de agentes patógenos en los tejidos de un organismo"
tuberculosis "enfermedad bacteriana infecciosa"
masa "mezcla consistente, homogénea y maleable que se consigue deshaciendo sustancias sólidas"
hierro "es un metal del grupo de los elementos de transición, de color blanco plateado"
lactante "que esta en periodo de lactancia"
disminuir "hacer que algo sea menor en cantidad, tamaño, intensidad, importancia, etc"
trimestre "periodo de tres meses"
enmascarar "cubrir la cara con una máscara o un antifaz sueltos o como parte de un disfraz"
aumento "accion de aumentar"
alcalina "de álcali o relacionado con él"
deﬁciencia "estado o cualidad de la cosa o persona que es deficiente"
seguridad "ausencia de peligro o riesgo"
laparoscopia "examen de la cavidad abdominal mediante la introducción de un laparoscopio"
naturaleza "principio creador y organizador de todo lo que existe"
ultrasonido "vibración mecánica de frecuencia superior a la de las que puede percibir el oído"
abdominal "del abdomen o relacionado con esta cavidad"
abstinencia "acción de abstenerse o privarse de alguna cosa"
suspender "colgar o levantar una cosa en alto"
biliar "de la bilis o relacionado con ella"
descompensada "que padece la descompensación de un órgano"
inminencia "gran proximidad en el tiempo de un suceso, en especial de un peligro o de un riesgo"
metabolismo "conjunto de los cambios químicos y biológicos que se producen en los humanos"
sangrado "acción de sangrar"
cloruro "compuesto de cloro y otro elemento químico diferente del oxígeno"
ascitis "acumulación de líquido seroso en la cavidad peritoneal"
renal "del riñón o relacionado con él"
paciente "que implica o denota paciencia"
etanol "líquido incoloro, de olor fuerte e inflamable"
laxante "que facilita la expulsión de los excrementos del intestino"
cardiovascular "del corazón y los vasos sanguíneos o relacionado con ellos"
duodeno "parte del intestino delgado que está comprendida entre el final del estómago y el yeyuno"
prurito "deseo constante, y a veces excesivo, de hacer una cosa de la forma más completa"
profiláctico "que sirve para preservar o proteger de una enfermedad o un mal"
hirsutismo "desarrollo excesivo de vello debido a un trastorno de las glándulas suprarrenales"
permeabilidad "cualidad de lo que es permeable"
midriasis "dilatación anormal de la pupila con inmovilidad del iris"
edema "significa hinchazón causada por la acumulación de líquido en los tejidos del cuerpo"
endotelial "es un tejido que recubre la zona interna de todos los vasos sanguíneos"
traumatismo "se trata de la lesión de los órganos o los tejidos"
apraxia "pérdida de la capacidad de llevar a cabo movimientos"
neurocisticercosis "enfermedad del sistema nervioso central de origen parasitario"
urticaria "enfermedad de la piel caracterizada por lesiones cutáneas edematosas"
anticuerpos "son glucoproteínas del tipo gamma globulina"
caspofungina "fármaco de tipo lipopéptido antifúngico"
mucosa "líquido espeso y resbaloso"
paciente "persona enferma que es atendida por un profesional de la salud"
meningitis "inflamación del tejido delgado que rodea el cerebro y la médula espinal"
sepsis "síndrome de anormalidades fisiológicas, patológicas y bioquímicas"
fluconazol "toxina triazol antimicótico usado en el tratamiento y prevención de infecciones fúngicas"
costra "formación cutánea temporal, de color rojo o pardo, constituido por plaquetas y sangre"
hipertensión "término que se utiliza para describir la presión arterial alta"
subyacente "que subyace por debajo de algo"
sangre "tejido conectivo líquido, que circula por capilares, venas y arterias de todos los vertebrados"
infección "invasión y multiplicación de agentes patógenos en los tejidos de un organismo"
amígdalas "masa redondeada de tejido linfático situada en la garganta o en la faringe"
uretritis "inflamación de la uretra que puede continuar durante semanas o meses"
shock "afección potencialmente mortal que se presenta cuando no tienes sangre suficiente"
sordera "dificultad o la imposibilidad de usar el sentido del oído"
faringitis "es la inflamación de la mucosa que reviste a la faringe"
cefalea "dolor de cabeza, representa una de las formas más comunes de dolor en la raza humana"
antibióticos "son medicamentos potentes que combaten las infecciones bacterianas"
epidermis "capa más externa de la piel"
glucosa "azúcar que se encuentra en la miel, la fruta y la sangre de los animales"
actividad "algo que estas o vas a hacer"
apoptosis "tipo de muerte celular"
mecanismo "estructura para realizar actividades"
marcadores "se usa para definir cosas especificas"
respuesta "accion frente a una situacion"
actitud "posicion frente a la vida"
inestabilidad "que no esta estable"
autores "personas que escriben un libro"
conservadora "persona que no utiliza modas actuales"
clorambucilo "que tiene prednisona"
fludarabina "principio activo de un medicamento"
resistente "que puede soportar mucho mas"
agentes "como los del fbi"
ciclo "que lleva pasos para un fin"
purinas "sustancias que vienen en alimentos"
efecto "que tiene una reaccion sobre algo"
transitorio "que en efecto pasa"
absoluto "que esta completo"
monoclonal "son anticuerpos"
medular "que es parte de la medula"
grados "con los que se mide la fiebre"
anemia "que tiene la hemoglobina baja"
hueso "con los que se compone el cuerpo humano"
plaquetas "pequenos fragmentos de celulas de la sangre"
valores "se usan para medir resultados"
productos "los que compramos en las farmacias"
lesiones "alteraciones en el cuerpo"
frotis "metodo de exploracion microscopica"
tiempo "periodo en el que se realiza una accion"
